Ticket ID,Ticket Subject,Ticket Description,Ticket Type,Ticket Priority,Ticket Channel
295,Subscription renewed at wrong price,"Can you clarify exactly when my billing cycle starts and ends each month, the dates seem inconsistent.",Billing inquiry,Medium,Email
296,App keeps crashing on launch,"The software freezes at 80 percent every time I try to export a large file, I have to force close it.",Technical issue,Medium,Chat
297,Comparing plan tiers,I'm considering upgrading my plan and wanted to know what additional features come with the higher tier.,Product inquiry,Medium,Chat
298,Requesting a refund for last month,I would like to request a full refund for last month's charge because I did not use the service at all.,Refund request,Medium,Social media
299,Unable to log into my account,"Our Zapier integration stopped passing data through after your latest release, nothing shows up on the other end.",Technical issue,High,Email
300,Does this support multiple users,"Does your product support multiple user seats under one account, and how is pricing calculated for that.",Product inquiry,Low,Email
301,Asking about enterprise features,"Does your product support multiple user seats under one account, and how is pricing calculated for that.",Product inquiry,Medium,Chat
302,Cannot connect to the server,I keep getting a server error when I try to log in with my correct credentials. I have tried resetting my password twice.,Technical issue,Critical,Email
303,Cancelling due to lack of use,"I would like to cancel my subscription effective immediately, please confirm once this is done.",Cancellation request,Medium,Phone
304,Requesting a refund for last month,"I accidentally purchased the annual plan instead of monthly, please refund the difference right away.",Refund request,High,Phone
305,Subscription renewed at wrong price,"My subscription renewed at a higher price than what I originally signed up for, please explain the increase.",Billing inquiry,Medium,Phone
306,Charged twice for the same subscription,"There is a charge on my card from your company that I do not recognize, can you explain what it is for.",Billing inquiry,Medium,Chat
307,Cancelling due to lack of use,"Can you walk me through how to cancel my current plan, I cannot find the option in settings.",Cancellation request,High,Email
308,Want to cancel my subscription,"Please cancel my account and stop any future billing, I no longer need the service.",Cancellation request,Low,Chat
309,Cannot connect to the server,"The software freezes at 80 percent every time I try to export a large file, I have to force close it.",Technical issue,High,Social media
310,Requesting a refund for last month,"The product did not work as advertised and I have already spent hours troubleshooting, I want a refund.",Refund request,Medium,Email
311,Refund needed for accidental purchase,I would like to request a full refund for last month's charge because I did not use the service at all.,Refund request,High,Social media
312,Cancelling due to lack of use,"I am cancelling because I have not used the product in months, please process this and confirm.",Cancellation request,Low,Chat
313,Cancelling due to lack of use,"Please cancel my account and stop any future billing, I no longer need the service.",Cancellation request,High,Phone
314,Mobile app stuck on loading screen,I keep getting a server error when I try to log in with my correct credentials. I have tried resetting my password twice.,Technical issue,Medium,Chat
315,Asking about enterprise features,"I'm evaluating your enterprise features for my team, could you share more details on SSO support.",Product inquiry,Low,Phone
316,Refund needed for accidental purchase,"I was charged twice for the same order, please refund the duplicate charge as soon as possible.",Refund request,High,Social media
317,Subscription renewed at wrong price,"Can you clarify exactly when my billing cycle starts and ends each month, the dates seem inconsistent.",Billing inquiry,Medium,Email
318,"Duplicate charge, please refund immediately","I accidentally purchased the annual plan instead of monthly, please refund the difference right away.",Refund request,High,Email
319,Mobile app stuck on loading screen,"I cannot connect to your server from my office network, but it works fine on my home wifi.",Technical issue,High,Chat
320,Website is throwing a 500 error,"Our Zapier integration stopped passing data through after your latest release, nothing shows up on the other end.",Technical issue,Low,Email
321,Subscription renewed at wrong price,"There is a charge on my card from your company that I do not recognize, can you explain what it is for.",Billing inquiry,Medium,Email
322,Does this support multiple users,"Could you help me compare the mid and top tier plans, I am not sure which fits our team size.",Product inquiry,High,Phone
323,Want to cancel my subscription,"Can you walk me through how to cancel my current plan, I cannot find the option in settings.",Cancellation request,Medium,Social media
324,Refund needed for accidental purchase,"The product did not work as advertised and I have already spent hours troubleshooting, I want a refund.",Refund request,Critical,Email
325,Need clarification on billing cycle,The total on my invoice this month is higher than my usual plan price and I am not sure why.,Billing inquiry,Medium,Email
326,Refund needed for accidental purchase,"I was charged twice for the same order, please refund the duplicate charge as soon as possible.",Refund request,Medium,Phone
327,How do I cancel my plan,"I would like to cancel my subscription effective immediately, please confirm once this is done.",Cancellation request,Low,Email
328,How do I cancel my plan,"I am cancelling because I have not used the product in months, please process this and confirm.",Cancellation request,Critical,Phone
329,Requesting a refund for last month,"I accidentally purchased the annual plan instead of monthly, please refund the difference right away.",Refund request,Critical,Chat
330,Unexpected charge on my card,The total on my invoice this month is higher than my usual plan price and I am not sure why.,Billing inquiry,Medium,Chat
331,Question about my last invoice,"Can you clarify exactly when my billing cycle starts and ends each month, the dates seem inconsistent.",Billing inquiry,Low,Phone
332,How do I cancel my plan,"I would like to cancel my subscription effective immediately, please confirm once this is done.",Cancellation request,Low,Social media
333,Cancelling due to lack of use,"I am cancelling because I have not used the product in months, please process this and confirm.",Cancellation request,High,Email
334,Unexpected charge on my card,"My subscription renewed at a higher price than what I originally signed up for, please explain the increase.",Billing inquiry,Low,Social media
335,Asking about enterprise features,"Does your product support multiple user seats under one account, and how is pricing calculated for that.",Product inquiry,High,Chat
336,Need clarification on billing cycle,The total on my invoice this month is higher than my usual plan price and I am not sure why.,Billing inquiry,High,Email
337,Website is throwing a 500 error,"The software freezes at 80 percent every time I try to export a large file, I have to force close it.",Technical issue,Medium,Phone
338,Unexpected charge on my card,The total on my invoice this month is higher than my usual plan price and I am not sure why.,Billing inquiry,High,Email
339,"Product did not work as advertised, want refund","I accidentally purchased the annual plan instead of monthly, please refund the difference right away.",Refund request,Medium,Phone
340,Question about upgrading my plan,"Does your product support multiple user seats under one account, and how is pricing calculated for that.",Product inquiry,Medium,Chat
341,Subscription renewed at wrong price,The total on my invoice this month is higher than my usual plan price and I am not sure why.,Billing inquiry,High,Phone
342,Question about upgrading my plan,I'm considering upgrading my plan and wanted to know what additional features come with the higher tier.,Product inquiry,Low,Phone
343,Invoice total does not match plan price,"Can you clarify exactly when my billing cycle starts and ends each month, the dates seem inconsistent.",Billing inquiry,Medium,Email
344,Please cancel my account,"Please cancel my account and stop any future billing, I no longer need the service.",Cancellation request,Medium,Social media
345,"Duplicate charge, please refund immediately",I would like to request a full refund for last month's charge because I did not use the service at all.,Refund request,High,Chat
346,Cancelling due to lack of use,"I am cancelling because I have not used the product in months, please process this and confirm.",Cancellation request,Medium,Phone
347,Does this support multiple users,"I'm evaluating your enterprise features for my team, could you share more details on SSO support.",Product inquiry,High,Phone
348,"Duplicate charge, please refund immediately","The product did not work as advertised and I have already spent hours troubleshooting, I want a refund.",Refund request,High,Email
349,"Product did not work as advertised, want refund","I was charged twice for the same order, please refund the duplicate charge as soon as possible.",Refund request,Medium,Social media
350,Question about my last invoice,"My card was charged twice for the same monthly subscription, I would like to understand why and get this corrected.",Billing inquiry,Low,Social media
351,Comparing plan tiers,"Does your product support multiple user seats under one account, and how is pricing calculated for that.",Product inquiry,High,Chat
352,Refund needed for accidental purchase,"The product did not work as advertised and I have already spent hours troubleshooting, I want a refund.",Refund request,High,Social media
353,Comparing plan tiers,"Could you help me compare the mid and top tier plans, I am not sure which fits our team size.",Product inquiry,High,Social media
354,Unable to log into my account,The mobile app is stuck on the loading screen and never gets past it no matter how many times I restart it.,Technical issue,High,Chat
355,Invoice total does not match plan price,"There is a charge on my card from your company that I do not recognize, can you explain what it is for.",Billing inquiry,Low,Phone
356,Cancelling due to lack of use,"Please cancel my account and stop any future billing, I no longer need the service.",Cancellation request,Medium,Email
357,How do I cancel my plan,"Please cancel my account and stop any future billing, I no longer need the service.",Cancellation request,Medium,Social media
358,Requesting a refund for last month,"I was charged twice for the same order, please refund the duplicate charge as soon as possible.",Refund request,Low,Chat
359,Refund needed for accidental purchase,I would like to request a full refund for last month's charge because I did not use the service at all.,Refund request,Medium,Social media
360,Asking about enterprise features,I'm considering upgrading my plan and wanted to know what additional features come with the higher tier.,Product inquiry,Low,Email
361,Please cancel my account,"Please cancel my account and stop any future billing, I no longer need the service.",Cancellation request,Medium,Phone
362,Question about my last invoice,The total on my invoice this month is higher than my usual plan price and I am not sure why.,Billing inquiry,Medium,Email
363,App keeps crashing on launch,The dashboard fails to load and shows a 500 internal server error whenever I try to view my reports.,Technical issue,High,Social media
364,Comparing plan tiers,"Does your product support multiple user seats under one account, and how is pricing calculated for that.",Product inquiry,Medium,Chat
365,Refund needed for accidental purchase,"The product did not work as advertised and I have already spent hours troubleshooting, I want a refund.",Refund request,Medium,Phone
366,Asking about enterprise features,"Could you help me compare the mid and top tier plans, I am not sure which fits our team size.",Product inquiry,Medium,Phone
367,Want to cancel my subscription,"Please cancel my account and stop any future billing, I no longer need the service.",Cancellation request,Low,Email
368,Please cancel my account,"I would like to cancel my subscription effective immediately, please confirm once this is done.",Cancellation request,Medium,Phone
369,Does this support multiple users,I'm considering upgrading my plan and wanted to know what additional features come with the higher tier.,Product inquiry,Medium,Chat
370,Comparing plan tiers,"Does your product support multiple user seats under one account, and how is pricing calculated for that.",Product inquiry,Medium,Chat
371,Unable to log into my account,"The sync between my desktop and mobile app stopped working two days ago, my data is not updating.",Technical issue,Low,Phone
372,How do I cancel my plan,"I am cancelling because I have not used the product in months, please process this and confirm.",Cancellation request,Medium,Social media
373,Comparing plan tiers,I'm considering upgrading my plan and wanted to know what additional features come with the higher tier.,Product inquiry,Medium,Chat
374,Asking about enterprise features,"Could you help me compare the mid and top tier plans, I am not sure which fits our team size.",Product inquiry,Low,Phone
375,Need clarification on billing cycle,The total on my invoice this month is higher than my usual plan price and I am not sure why.,Billing inquiry,Medium,Phone
376,"Duplicate charge, please refund immediately","The product did not work as advertised and I have already spent hours troubleshooting, I want a refund.",Refund request,Critical,Phone
377,Asking about enterprise features,"Does your product support multiple user seats under one account, and how is pricing calculated for that.",Product inquiry,High,Phone
378,"Product did not work as advertised, want refund","I was charged twice for the same order, please refund the duplicate charge as soon as possible.",Refund request,Medium,Phone
379,Asking about enterprise features,"I'm evaluating your enterprise features for my team, could you share more details on SSO support.",Product inquiry,Low,Social media
380,Please cancel my account,"Can you walk me through how to cancel my current plan, I cannot find the option in settings.",Cancellation request,Low,Phone
381,Cannot connect to the server,"Our Zapier integration stopped passing data through after your latest release, nothing shows up on the other end.",Technical issue,High,Social media
382,Question about my last invoice,The total on my invoice this month is higher than my usual plan price and I am not sure why.,Billing inquiry,Medium,Phone
383,Charged twice for the same subscription,The total on my invoice this month is higher than my usual plan price and I am not sure why.,Billing inquiry,High,Chat
384,Charged twice for the same subscription,"My subscription renewed at a higher price than what I originally signed up for, please explain the increase.",Billing inquiry,High,Chat
385,Charged twice for the same subscription,"My card was charged twice for the same monthly subscription, I would like to understand why and get this corrected.",Billing inquiry,Medium,Social media
386,Website is throwing a 500 error,"Every time I open the app it crashes immediately, even after reinstalling. This started after the last update.",Technical issue,Critical,Chat
387,Cancelling due to lack of use,"I am cancelling because I have not used the product in months, please process this and confirm.",Cancellation request,Medium,Phone
388,Refund needed for accidental purchase,I would like to request a full refund for last month's charge because I did not use the service at all.,Refund request,Critical,Email
389,Does this support multiple users,I'm considering upgrading my plan and wanted to know what additional features come with the higher tier.,Product inquiry,High,Chat
390,How do I cancel my plan,"I would like to cancel my subscription effective immediately, please confirm once this is done.",Cancellation request,Critical,Social media
391,How do I cancel my plan,"Please cancel my account and stop any future billing, I no longer need the service.",Cancellation request,High,Email
392,Requesting a refund for last month,"I accidentally purchased the annual plan instead of monthly, please refund the difference right away.",Refund request,Medium,Social media
393,Invoice total does not match plan price,"Can you clarify exactly when my billing cycle starts and ends each month, the dates seem inconsistent.",Billing inquiry,Medium,Email
394,"Product did not work as advertised, want refund","I was charged twice for the same order, please refund the duplicate charge as soon as possible.",Refund request,High,Chat
395,Cannot connect to the server,"The software freezes at 80 percent every time I try to export a large file, I have to force close it.",Technical issue,High,Chat
396,Invoice total does not match plan price,"My subscription renewed at a higher price than what I originally signed up for, please explain the increase.",Billing inquiry,High,Social media
397,Asking about enterprise features,I'm considering upgrading my plan and wanted to know what additional features come with the higher tier.,Product inquiry,Low,Email
398,Question about my last invoice,"Can you clarify exactly when my billing cycle starts and ends each month, the dates seem inconsistent.",Billing inquiry,Medium,Chat
399,Software freezes during export,The mobile app is stuck on the loading screen and never gets past it no matter how many times I restart it.,Technical issue,Medium,Phone
400,Refund needed for accidental purchase,I would like to request a full refund for last month's charge because I did not use the service at all.,Refund request,Medium,Phone
401,Charged twice for the same subscription,"My subscription renewed at a higher price than what I originally signed up for, please explain the increase.",Billing inquiry,Low,Phone
402,Need clarification on billing cycle,"My subscription renewed at a higher price than what I originally signed up for, please explain the increase.",Billing inquiry,Medium,Phone
403,Software freezes during export,"I cannot connect to your server from my office network, but it works fine on my home wifi.",Technical issue,High,Chat
404,Need clarification on billing cycle,"I have a question about a line item on my latest invoice, it doesn't match what I was quoted at signup.",Billing inquiry,Medium,Phone
405,Cancelling due to lack of use,"Can you walk me through how to cancel my current plan, I cannot find the option in settings.",Cancellation request,High,Email
406,Comparing plan tiers,"I'm evaluating your enterprise features for my team, could you share more details on SSO support.",Product inquiry,Low,Email
407,Sync feature not working,The dashboard fails to load and shows a 500 internal server error whenever I try to view my reports.,Technical issue,Medium,Social media
408,Sync feature not working,"Our Zapier integration stopped passing data through after your latest release, nothing shows up on the other end.",Technical issue,Low,Social media
409,Integration with third-party tool broken,The dashboard fails to load and shows a 500 internal server error whenever I try to view my reports.,Technical issue,High,Social media
410,Question about upgrading my plan,"Could you help me compare the mid and top tier plans, I am not sure which fits our team size.",Product inquiry,Medium,Phone
411,Mobile app stuck on loading screen,"The software freezes at 80 percent every time I try to export a large file, I have to force close it.",Technical issue,High,Chat
412,Question about upgrading my plan,I'm considering upgrading my plan and wanted to know what additional features come with the higher tier.,Product inquiry,Low,Email
413,Question about upgrading my plan,I'm considering upgrading my plan and wanted to know what additional features come with the higher tier.,Product inquiry,Critical,Social media
414,Software freezes during export,The mobile app is stuck on the loading screen and never gets past it no matter how many times I restart it.,Technical issue,Medium,Chat
415,Please cancel my account,"I am cancelling because I have not used the product in months, please process this and confirm.",Cancellation request,Medium,Social media
416,Want to cancel my subscription,"Can you walk me through how to cancel my current plan, I cannot find the option in settings.",Cancellation request,Medium,Phone
417,Website is throwing a 500 error,The mobile app is stuck on the loading screen and never gets past it no matter how many times I restart it.,Technical issue,High,Chat
418,App keeps crashing on launch,"The software freezes at 80 percent every time I try to export a large file, I have to force close it.",Technical issue,Medium,Social media
419,Comparing plan tiers,"Does your product support multiple user seats under one account, and how is pricing calculated for that.",Product inquiry,Low,Phone
420,Unexpected charge on my card,"I have a question about a line item on my latest invoice, it doesn't match what I was quoted at signup.",Billing inquiry,High,Email
421,Mobile app stuck on loading screen,"Every time I open the app it crashes immediately, even after reinstalling. This started after the last update.",Technical issue,Medium,Email
422,App keeps crashing on launch,"Our Zapier integration stopped passing data through after your latest release, nothing shows up on the other end.",Technical issue,High,Email
423,Subscription renewed at wrong price,"My card was charged twice for the same monthly subscription, I would like to understand why and get this corrected.",Billing inquiry,Medium,Chat
424,Does this support multiple users,I'm considering upgrading my plan and wanted to know what additional features come with the higher tier.,Product inquiry,Low,Phone
425,Subscription renewed at wrong price,The total on my invoice this month is higher than my usual plan price and I am not sure why.,Billing inquiry,Medium,Phone
426,Unexpected charge on my card,"I have a question about a line item on my latest invoice, it doesn't match what I was quoted at signup.",Billing inquiry,Critical,Chat
427,Please cancel my account,"Please cancel my account and stop any future billing, I no longer need the service.",Cancellation request,Low,Chat
428,Cancelling due to lack of use,"I would like to cancel my subscription effective immediately, please confirm once this is done.",Cancellation request,Critical,Social media
429,Asking about enterprise features,"Could you help me compare the mid and top tier plans, I am not sure which fits our team size.",Product inquiry,Low,Phone
430,How do I cancel my plan,"I am cancelling because I have not used the product in months, please process this and confirm.",Cancellation request,Low,Chat
431,"Product did not work as advertised, want refund","I was charged twice for the same order, please refund the duplicate charge as soon as possible.",Refund request,Critical,Social media
432,How do I cancel my plan,"I am cancelling because I have not used the product in months, please process this and confirm.",Cancellation request,Low,Chat
433,Requesting a refund for last month,"I was charged twice for the same order, please refund the duplicate charge as soon as possible.",Refund request,High,Email
434,Does this support multiple users,I'm considering upgrading my plan and wanted to know what additional features come with the higher tier.,Product inquiry,Low,Email
435,Sync feature not working,"The sync between my desktop and mobile app stopped working two days ago, my data is not updating.",Technical issue,Medium,Phone
436,Requesting a refund for last month,"The product did not work as advertised and I have already spent hours troubleshooting, I want a refund.",Refund request,Critical,Email
437,How do I cancel my plan,"Can you walk me through how to cancel my current plan, I cannot find the option in settings.",Cancellation request,Medium,Chat
438,Asking about enterprise features,"I'm evaluating your enterprise features for my team, could you share more details on SSO support.",Product inquiry,Low,Phone
439,Refund needed for accidental purchase,"I accidentally purchased the annual plan instead of monthly, please refund the difference right away.",Refund request,High,Social media
440,Want to cancel my subscription,"I am cancelling because I have not used the product in months, please process this and confirm.",Cancellation request,High,Phone
441,Unexpected charge on my card,"There is a charge on my card from your company that I do not recognize, can you explain what it is for.",Billing inquiry,Medium,Chat
442,Charged twice for the same subscription,"There is a charge on my card from your company that I do not recognize, can you explain what it is for.",Billing inquiry,Medium,Social media
443,"Product did not work as advertised, want refund","The product did not work as advertised and I have already spent hours troubleshooting, I want a refund.",Refund request,Medium,Social media
444,Does this support multiple users,"Could you help me compare the mid and top tier plans, I am not sure which fits our team size.",Product inquiry,Medium,Phone
445,"Duplicate charge, please refund immediately","I was charged twice for the same order, please refund the duplicate charge as soon as possible.",Refund request,High,Phone
446,Question about my last invoice,"My subscription renewed at a higher price than what I originally signed up for, please explain the increase.",Billing inquiry,Medium,Chat
447,Question about upgrading my plan,I'm considering upgrading my plan and wanted to know what additional features come with the higher tier.,Product inquiry,Medium,Email
448,App keeps crashing on launch,The mobile app is stuck on the loading screen and never gets past it no matter how many times I restart it.,Technical issue,Low,Chat
449,Website is throwing a 500 error,"Every time I open the app it crashes immediately, even after reinstalling. This started after the last update.",Technical issue,Medium,Social media
450,Requesting a refund for last month,"I was charged twice for the same order, please refund the duplicate charge as soon as possible.",Refund request,High,Email
451,Mobile app stuck on loading screen,"Every time I open the app it crashes immediately, even after reinstalling. This started after the last update.",Technical issue,Low,Phone
452,Asking about enterprise features,I'm considering upgrading my plan and wanted to know what additional features come with the higher tier.,Product inquiry,Low,Social media
453,Charged twice for the same subscription,"My card was charged twice for the same monthly subscription, I would like to understand why and get this corrected.",Billing inquiry,Medium,Chat
454,Invoice total does not match plan price,The total on my invoice this month is higher than my usual plan price and I am not sure why.,Billing inquiry,Medium,Phone
455,"Duplicate charge, please refund immediately",I would like to request a full refund for last month's charge because I did not use the service at all.,Refund request,Medium,Social media
456,How do I cancel my plan,"Can you walk me through how to cancel my current plan, I cannot find the option in settings.",Cancellation request,Low,Email
457,Unable to log into my account,The mobile app is stuck on the loading screen and never gets past it no matter how many times I restart it.,Technical issue,Medium,Social media
458,App keeps crashing on launch,The dashboard fails to load and shows a 500 internal server error whenever I try to view my reports.,Technical issue,Low,Social media
459,Requesting a refund for last month,I would like to request a full refund for last month's charge because I did not use the service at all.,Refund request,Medium,Social media
460,Requesting a refund for last month,I would like to request a full refund for last month's charge because I did not use the service at all.,Refund request,High,Phone
461,Question about upgrading my plan,"Does your product support multiple user seats under one account, and how is pricing calculated for that.",Product inquiry,High,Phone
462,Sync feature not working,The dashboard fails to load and shows a 500 internal server error whenever I try to view my reports.,Technical issue,High,Social media
463,Software freezes during export,The dashboard fails to load and shows a 500 internal server error whenever I try to view my reports.,Technical issue,High,Social media
464,Asking about enterprise features,"Could you help me compare the mid and top tier plans, I am not sure which fits our team size.",Product inquiry,Medium,Chat
465,Cannot connect to the server,"Every time I open the app it crashes immediately, even after reinstalling. This started after the last update.",Technical issue,Low,Chat
466,Cannot connect to the server,The mobile app is stuck on the loading screen and never gets past it no matter how many times I restart it.,Technical issue,Critical,Phone
467,Software freezes during export,"Our Zapier integration stopped passing data through after your latest release, nothing shows up on the other end.",Technical issue,Medium,Phone
468,Comparing plan tiers,"Could you help me compare the mid and top tier plans, I am not sure which fits our team size.",Product inquiry,Low,Social media
469,Software freezes during export,"The sync between my desktop and mobile app stopped working two days ago, my data is not updating.",Technical issue,High,Email
470,"Product did not work as advertised, want refund","I was charged twice for the same order, please refund the duplicate charge as soon as possible.",Refund request,High,Chat
471,Please cancel my account,"Please cancel my account and stop any future billing, I no longer need the service.",Cancellation request,Low,Email
472,"Duplicate charge, please refund immediately","I accidentally purchased the annual plan instead of monthly, please refund the difference right away.",Refund request,High,Email
473,Charged twice for the same subscription,"I have a question about a line item on my latest invoice, it doesn't match what I was quoted at signup.",Billing inquiry,Medium,Social media
474,App keeps crashing on launch,I keep getting a server error when I try to log in with my correct credentials. I have tried resetting my password twice.,Technical issue,Medium,Email
475,Asking about enterprise features,"Could you help me compare the mid and top tier plans, I am not sure which fits our team size.",Product inquiry,Low,Social media
476,Want to cancel my subscription,"Can you walk me through how to cancel my current plan, I cannot find the option in settings.",Cancellation request,Medium,Chat
477,How do I cancel my plan,"Can you walk me through how to cancel my current plan, I cannot find the option in settings.",Cancellation request,Low,Phone
478,How do I cancel my plan,"I would like to cancel my subscription effective immediately, please confirm once this is done.",Cancellation request,Low,Phone
479,Please cancel my account,"I am cancelling because I have not used the product in months, please process this and confirm.",Cancellation request,High,Phone
480,"Product did not work as advertised, want refund","I was charged twice for the same order, please refund the duplicate charge as soon as possible.",Refund request,High,Chat
481,Want to cancel my subscription,"Can you walk me through how to cancel my current plan, I cannot find the option in settings.",Cancellation request,Low,Social media
482,"Duplicate charge, please refund immediately","I accidentally purchased the annual plan instead of monthly, please refund the difference right away.",Refund request,High,Social media
483,Does this support multiple users,"I'm evaluating your enterprise features for my team, could you share more details on SSO support.",Product inquiry,Low,Chat
484,Please cancel my account,"Can you walk me through how to cancel my current plan, I cannot find the option in settings.",Cancellation request,Critical,Phone
485,"Duplicate charge, please refund immediately","The product did not work as advertised and I have already spent hours troubleshooting, I want a refund.",Refund request,Medium,Phone
486,Please cancel my account,"I would like to cancel my subscription effective immediately, please confirm once this is done.",Cancellation request,High,Chat
487,Does this support multiple users,I'm considering upgrading my plan and wanted to know what additional features come with the higher tier.,Product inquiry,High,Social media
488,Need clarification on billing cycle,"There is a charge on my card from your company that I do not recognize, can you explain what it is for.",Billing inquiry,High,Email
489,Cancelling due to lack of use,"Can you walk me through how to cancel my current plan, I cannot find the option in settings.",Cancellation request,Medium,Chat
490,"Product did not work as advertised, want refund","I was charged twice for the same order, please refund the duplicate charge as soon as possible.",Refund request,High,Email
491,Cancelling due to lack of use,"I am cancelling because I have not used the product in months, please process this and confirm.",Cancellation request,Medium,Social media
492,Question about upgrading my plan,"I'm evaluating your enterprise features for my team, could you share more details on SSO support.",Product inquiry,Medium,Email
493,Sync feature not working,"I cannot connect to your server from my office network, but it works fine on my home wifi.",Technical issue,Medium,Email
494,Comparing plan tiers,"I'm evaluating your enterprise features for my team, could you share more details on SSO support.",Product inquiry,High,Social media
495,App keeps crashing on launch,I keep getting a server error when I try to log in with my correct credentials. I have tried resetting my password twice.,Technical issue,Medium,Chat
496,Please cancel my account,"I am cancelling because I have not used the product in months, please process this and confirm.",Cancellation request,Medium,Chat
497,Requesting a refund for last month,"I was charged twice for the same order, please refund the duplicate charge as soon as possible.",Refund request,Medium,Social media
498,Unable to log into my account,The dashboard fails to load and shows a 500 internal server error whenever I try to view my reports.,Technical issue,Medium,Phone
499,How do I cancel my plan,"I am cancelling because I have not used the product in months, please process this and confirm.",Cancellation request,Low,Email
500,Cancelling due to lack of use,"Please cancel my account and stop any future billing, I no longer need the service.",Cancellation request,Low,Email
501,App keeps crashing on launch,"I cannot connect to your server from my office network, but it works fine on my home wifi.",Technical issue,High,Chat
502,Invoice total does not match plan price,"I have a question about a line item on my latest invoice, it doesn't match what I was quoted at signup.",Billing inquiry,Medium,Phone
503,Comparing plan tiers,"Could you help me compare the mid and top tier plans, I am not sure which fits our team size.",Product inquiry,Low,Social media
504,Question about my last invoice,"My subscription renewed at a higher price than what I originally signed up for, please explain the increase.",Billing inquiry,High,Social media
505,Sync feature not working,"Our Zapier integration stopped passing data through after your latest release, nothing shows up on the other end.",Technical issue,High,Social media
506,Sync feature not working,"The sync between my desktop and mobile app stopped working two days ago, my data is not updating.",Technical issue,Medium,Email
507,Question about upgrading my plan,"Does your product support multiple user seats under one account, and how is pricing calculated for that.",Product inquiry,Low,Chat
508,Want to cancel my subscription,"Please cancel my account and stop any future billing, I no longer need the service.",Cancellation request,Medium,Social media
509,Asking about enterprise features,"Could you help me compare the mid and top tier plans, I am not sure which fits our team size.",Product inquiry,Medium,Email
510,Refund needed for accidental purchase,"I was charged twice for the same order, please refund the duplicate charge as soon as possible.",Refund request,High,Phone
511,Question about upgrading my plan,"Does your product support multiple user seats under one account, and how is pricing calculated for that.",Product inquiry,Low,Chat
512,Requesting a refund for last month,"The product did not work as advertised and I have already spent hours troubleshooting, I want a refund.",Refund request,Medium,Chat
513,Comparing plan tiers,"Could you help me compare the mid and top tier plans, I am not sure which fits our team size.",Product inquiry,Medium,Social media
514,How do I cancel my plan,"I am cancelling because I have not used the product in months, please process this and confirm.",Cancellation request,Medium,Chat
515,Does this support multiple users,"Could you help me compare the mid and top tier plans, I am not sure which fits our team size.",Product inquiry,Low,Chat
516,"Duplicate charge, please refund immediately",I would like to request a full refund for last month's charge because I did not use the service at all.,Refund request,Critical,Email
517,How do I cancel my plan,"Can you walk me through how to cancel my current plan, I cannot find the option in settings.",Cancellation request,High,Social media
518,Cancelling due to lack of use,"I am cancelling because I have not used the product in months, please process this and confirm.",Cancellation request,Medium,Social media
519,How do I cancel my plan,"I would like to cancel my subscription effective immediately, please confirm once this is done.",Cancellation request,Medium,Chat
520,Requesting a refund for last month,"I accidentally purchased the annual plan instead of monthly, please refund the difference right away.",Refund request,Medium,Phone
521,Need clarification on billing cycle,The total on my invoice this month is higher than my usual plan price and I am not sure why.,Billing inquiry,High,Social media
522,Question about upgrading my plan,I'm considering upgrading my plan and wanted to know what additional features come with the higher tier.,Product inquiry,Low,Phone
523,Question about upgrading my plan,"Could you help me compare the mid and top tier plans, I am not sure which fits our team size.",Product inquiry,Low,Social media
524,Sync feature not working,"The software freezes at 80 percent every time I try to export a large file, I have to force close it.",Technical issue,Critical,Email
525,Please cancel my account,"Please cancel my account and stop any future billing, I no longer need the service.",Cancellation request,High,Email
526,Want to cancel my subscription,"Can you walk me through how to cancel my current plan, I cannot find the option in settings.",Cancellation request,Low,Phone
527,Comparing plan tiers,"Does your product support multiple user seats under one account, and how is pricing calculated for that.",Product inquiry,Medium,Chat
528,Charged twice for the same subscription,The total on my invoice this month is higher than my usual plan price and I am not sure why.,Billing inquiry,Medium,Phone
529,Does this support multiple users,"I'm evaluating your enterprise features for my team, could you share more details on SSO support.",Product inquiry,High,Phone
530,Refund needed for accidental purchase,I would like to request a full refund for last month's charge because I did not use the service at all.,Refund request,Medium,Social media
531,Software freezes during export,The dashboard fails to load and shows a 500 internal server error whenever I try to view my reports.,Technical issue,High,Chat
532,Question about my last invoice,"My subscription renewed at a higher price than what I originally signed up for, please explain the increase.",Billing inquiry,Medium,Chat
533,Cancelling due to lack of use,"Can you walk me through how to cancel my current plan, I cannot find the option in settings.",Cancellation request,Medium,Phone
534,Cancelling due to lack of use,"I am cancelling because I have not used the product in months, please process this and confirm.",Cancellation request,Low,Email
535,Please cancel my account,"Please cancel my account and stop any future billing, I no longer need the service.",Cancellation request,Medium,Social media
536,Requesting a refund for last month,I would like to request a full refund for last month's charge because I did not use the service at all.,Refund request,High,Social media
537,Requesting a refund for last month,"I was charged twice for the same order, please refund the duplicate charge as soon as possible.",Refund request,Medium,Social media
538,Need clarification on billing cycle,"There is a charge on my card from your company that I do not recognize, can you explain what it is for.",Billing inquiry,Medium,Phone
539,"Product did not work as advertised, want refund","I was charged twice for the same order, please refund the duplicate charge as soon as possible.",Refund request,High,Email
540,Unable to log into my account,"Our Zapier integration stopped passing data through after your latest release, nothing shows up on the other end.",Technical issue,Low,Chat
541,Cancelling due to lack of use,"I would like to cancel my subscription effective immediately, please confirm once this is done.",Cancellation request,Critical,Social media
